no,romaji,kana,kanji,meaning_mm
2240,kiroku(suru),きろく（する）,記録（する）,မှတ်တမ်း၊စံချိန်
2241,giron (suru),ぎろん　（する）,議論（する）,ဆွေးနွေးမှု၊ အခြေအတင်ပြောဆိုမှု
2242,giwaku,ぎわく,疑惑,သံသယဖြစ်မှု
2243,kiwamete,きわめて,極めて,အလွန်
2244,kiokubaru,きをくばる,気を配る,အစစအရာရာသတိထားသည်
2245,kiotsukau,きをつかう,気を遣う,ဂရုစိုက်သည်။စိတ်ပင်ပန်းသည်
2246,kiotsukeru,きをつける,気を付ける,သတိထားသည်
2247,kin,きん,金,ရွှေ
2248,kin,きん,菌,ပိုးမွှား
2249,gin,ぎん,銀,ငွေ
2250,kinitsu,きんいつ,均一,ညီမျှခြင်း၊ တပြေးညီဖြစ်ခြင်း
2251,kinen(suru),きんえん（する）,禁煙（する）,ဆေးလိပ်မသောက်ရ
2252,kingaku,きんがく,金額,ကျသင့်ငွေ၊ ငွေပမာဏ
2253,kingan,きんがん,近眼,အဝေးမှုန်ခြင်း၊
2254,kinkyū,きんきゅう,緊急,အရေးပေါ်
2255,kingyo,きんぎょ,金魚,ရွှေငါး
2256,kinkyō,きんきょう,近況,လက်တလောအခြေအနေ
2257,kinko,きんこ,金庫,မီးခံသေတ္တာ
2258,kinkou,きんこう,近郊,ဆင်ခြေဖုံးရပ်ကွက်
2259,ginkō,ぎんこう,銀行,ဘဏ်
2260,kinkou(suru),きんこう（する）,均衡（する）,အညီအမျှ
2261,kinshi,きんし,近視,အဝေးမှုန်
2262,kinshi(suru),きんし（する）,禁止（する）,တားမြစ်ခြင်း
2263,kinjiyo,きんじょ,近所,အိမ်နီးချင်း
2264,kinjiru/zuru,きんじる／ずる,禁じる,တားမြစ်သည်
2265,kinsen,きんせん,金銭,ငွေကြေး
2266,kinzoku,きんぞく,金属,သတ္ထုပစ္စည်း
2267,kindai,きんだい,近代,ခေတ်သစ်(ဂျပန်ပြည်မှာတော့မဲအိခေတ်နောက်ပိုင်း၊ဥရောပမှာဆိုရင်၁၉ရာစု
2268,kindaika(suru),きんだいか（する）,近代化（する）,ခေတ်မီလာသည်
2269,kinchō(suru),きんちょう（する）,緊張（する）,တင်းမာမှု၊စိတ်လှုပ်ရှားမှု၊ ပဋိပက္ခဖြစ်တော့မယ့်ပုံ
2270,kintou(na),きんとう（な）,均等（な）,ညီမျှသော
2271,ginnan,ぎんなん,銀杏,ယပ်တောင်ပုံဂျင်ကိုပင်၏အသီး
2272,kinniku,きんにく,筋肉,ကြွက်သား
2273,kinnen,きんねん,近年,နှစ်အနည်းငယ်မတိုင်မီ၊အခုတလော၊ယခုခေတ်
2274,kinben(na),きんべん（な）,勤勉　（な）,ဝီရိယရှိသော၊ ကြိုးစားအားထုတ်သော
2275,ginmi(suru),ぎんみ（する）,吟味（する）,သုံးသပ်မှု (အကြောင်းအရာကောင်းမကောင်း အရည်အသွေးစသည်တို့ကို)၊
2276,kinmu(suru),きんむ（する）,勤務（する）,အမှုထမ်းခြင်း၊ထမ်းဆောင်ခြင်း
2277,kinmotsu,きんもつ,禁物,တားမြစ်ချက်၊ရှောင်ရမည့်ကိစ္စ
2278,kinyuu,きんゆう,金融,ဘဏ္ဍာရေး
2279,kinyōbi,きんようび,金曜日,သောကြာနေ့
2280,kinrin,きんりん,近隣,အနီးအနားပတ်ဝန်းကျင်
2281,kinrō,きんろう,勤労,အလုပ်လုပ်ခြင်း
2282,ku,く,句,စာကြောင်းအဖြတ်အတောက်
2283,ku,く,苦,ဆင်းရဲပင်ပန်းခြင်း၊ဝေဒနာ
2284,ku,く,九,ကိုး
2285,ku,く,区,မြို့နယ်၊ ရပ်ကွက် ၊
2286,guai,ぐあい,具合,အခြေအနေ
2287,kuiki,くいき,区域,ဒေသ၊ပိုင်းခြားထားသောနယ်မြေ
2288,kuizu,クイズ,quiz,ပဟေဠိ
2289,kuichigau,くいちがう,食い違う,ကွာဟသည်၊ကွာခြားသည်။ခြားနားသည်၊ ကွဲပြားသည်
2290,kuu,くう,食う,စားသည်၊ပိုးကောင်ကိုက်သည်၊နေထိုင်စားသောက်သည်
2291,kū~,くう～,空～,ဟာလာဟင်းလင်း
2292,kuukan,くうかん,空間,နေရာလပ်၊ ၊
2293,kūki,くうき,空気,လေ
2294,guuguu,ぐうぐう,,တခေါခေါ
2295,kuukō,くうこう,空港,လေဆိပ်
2296,gūsū,ぐうすう,偶数,စုံဂဏန်း
2297,kuuseki,くうせき,空席,ထိုင်ခုံလွတ်
2298,gūzen,ぐうぜん,偶然,မမျှော်လင့်ပဲ၊ ရုတ်တရက်
2299,kuuso(na),くうそ（な）,空疎（な）,ဟာလာဟင်းလင်းဖြစ်သော
2300,guuzou,ぐうぞう,偶像,ဆင်ကြေးရုပ်
2301,kūsō(suru),くうそう（する）,空想（する）,စိတ်ကူးယဉ်မှု
2302,kuuchiyuu,くうちゅう,空中,လေထု
2303,kuufuku,くうふく,空腹,ဗိုက်ဆာခြင်း
2304,kūrā,クーラー,cooler,လေအေးပေးစက်
2305,kūru(na),クール（な）,cool,အေးစက်သော
2306,kukaku,くかく,区画,အကွက်
2307,kukan,くかん,区間,ကြား၊နေရာ၊ကန့်သတ်ထားသောနေရာ
2308,kuki,くき,茎,ပင်ရိုး၊ပင်တံ
2309,kugi,くぎ,釘,သံချောင်း
2310,kugiri,くぎり,区切り,ပိုင်းခြားမှု
2311,kugiru,くぎる,区切る,ပိုင်းခြားသည်
2312,kukuru,くくる,括る,စည်းသည်၊ချည်သည်
2313,kuguru,くぐる,潜る,ငုပ်လျှိုးသည်
2314,kusa,くさ,草,မြက်ပင်
2315,kusai,くさい,臭い,နံသော
2316,kusabana,くさばな,草花,သစ်ပင်ပန်းမန်
2317,kusayakyū,くさやきゅう,草野球,အပျော်တမ်းဘေ့စ်ဘော
2318,kusari,くさり,鎖,သံကြိုး
2319,kusaru,くさる,腐る,ပုပ်သိုးသည်
2320,kushi,くし,櫛,ဘီး
2321,kuji,くじ,,မဲ၊ထီ
2322,kushi(suru),くし（する）,駆使（する）,လက်တွေ့အသုံးချသည်
2323,kujibiki,くじびき,,မဲနှိုက်ခြင်း ၊
2324,kushakushanisuru,くしゃくしゃにする,,ကျေအောင်လုပ်သည်
2325,kushami,くしゃみ,,နှာချေခြင်း
2326,kujiyo(suru),くじょ（する）,駆除（する）,ပိုးကောင်ကြွက်စသည်တို့ကိုသတ်ခြင်း၊ နှိမ်နင်းခြင်း
2327,kujiyou,くじょう,苦情,တိုင်တန်းခြင်း၊ညီးညူခြင်း
2328,kujira,くじら,鯨,ဝေလငါး
2329,kushin(suru),くしん（する）,苦心（する）,ဆင်းရဲပင်ပမ်းမှု၊အပင်ပန်းခံခြင်း
2330,kuzu,くず,,အမှိုက်
2331,kusuguttai,くすぐったい,,ယားသော(ကလိထိုးလို့)
2332,kuzusu,くずす,崩す,ဖြိုသည်
2333,kusuri,くすり,薬,ဆေး
2334,kusuriyubi,くすりゆび,薬指,လက်သူကြွယ်
2335,kuzureru,くずれる,崩れる,ပြိုကျသည်
2336,kuse,くせ,癖,အကျင့်
2337,kuda,くだ,管,ပြွန်
2338,gutaiteki(na),ぐたいてき（な）,具体的（な）,လက်တွေ့ကျကျ ၊အသေးစိတ်
2339,kudaku,くだく,砕く,ထုခွဲသည်
2340,kutakuta,くたくた,,အရမ်းမောနေပုံ၊ဟောဟဲဆိုက်
2341,kudakeru,くだける,砕ける,ကြေမွသည်
2342,kudasai,ください,下さい,ပေးပါ
2343,kudasaru,くださる,下さる,ပေးသည်(လူကြီးကကိုယ့်ကိုပေးသည်)
2344,kudasu,くだす,,အမိန့်၊စီရင်ချက်ထုတ်ပြန်သည်
2345,kudabireru,くだびれる,,မောပန်းသည်၊ဟောင်းနွမ်းသည်
2346,kudamono,くだもの,果物,သစ်သီးဝလံ
2347,kudaranai,くだらない,,တန်ဘိုးမဲ့သော၊အဆင့်နိမ့်သော၊ အဓိပ္ပါယ်မရှိသော
2348,kudari,くだり,下り,အဆင်း၊အစုန်
2349,kudaru,くだる,下る,ဆင်းသည်၊ရေစုန်ဖြစ်သည်။နယ်မြေဆင်းသည်
2350,kuchi,くち,口,ပါးစပ် ၊
2351,guchi,ぐち,愚痴,ညီးညူခြင်း
2352,kuchiguchini,くちぐちに,口々に,တလေသံတည်း
2353,kuchizusamu,くちずさむ,,စိတ်လွတ်ကိုယ်လွတ်သီချင်းဆိုသည်
2354,kuchibashi,くちばし,嘴,ငှက်နှုတ်သီး
2355,kuchibiru,くちびる,唇,နှုတ်ခမ်း
2356,kuchibue,くちぶえ,口笛,လေချွန်သံ
2357,kuchibeni,くちべに,口紅,နှုတ်ခမ်းဆိုးဆေး
2358,kuchiru,くちる,朽ちる,ဆွေးသည်။ဂုဏ်သတင်းမှေးမှိန်သည်။လူ့လောကမှအသိအမှတ်ပြု ခြင်းမခံရဘဲ
2359,kutsu,くつ,靴,ဖိနပ်
2360,kutsuu,くつう,苦痛,ဝေဒနာ
2361,kutsugaesu,くつがえす,覆す,မှောက်လှန်သည်။တော်လှန်သည်၊ အတွေးအခေါ် ဇောက်ထိုးဖြစ်သည်။
2362,kukkī,クッキー,cookie,ကွတ်ကီးမုန့်
2363,kukkiri(to),くっきり（と）,,ထင်ထင်ရှားရှား၊ပြတ်ပြတ်သားသား၊ရှင်းရှင်းလင်းလင်း
2364,kutsushita,くつした,,ခြေအိပ်
2365,kutsusurito,くっすりと,,နှစ်နှစ်ခြိုက်ခြိုက်
2366,kussetsu(suru),くっせつ（する）,,အလင်းယိုင်သည်၊အသံယိုင်သည်၊လမ်းကွေ့ကောက်သည်
2367,kuttsuku,くっつく,,တွဲကပ်သည်။လိုက်ပါသည်
2368,kuttsukeru,くっつける,,ကပ်စေသည်။ပူးကပ်သည်
2369,gutto,ぐっと,,အစွမ်းကုန်အားထည့်ပြီး၊ အရင်ကထက်ပို၍၊ စိတ်လှုပ်ရှား
2370,kudoi,くどい,,ထပ်ခါထပ်ခါပြောသော
2371,kutouten,くとうてん,,ပုဒ်ခံခြင်း၊ပုဒ်ဖြတ်ခြင်း၊ပုဒ်ချခြင်း
2372,kuni,くに,国,နိုင်ငံ
2373,kubaru,くばる,配る,ဝေငှသည်။ဂရုစိုက်သည်၊ လူနှင့်ပစ္စည်းများကိုခွဲဝေပြီး သင့်တော်သည့်နေရာ
2374,kubi,くび,首,လည်ပင်း
2375,kubikazari,くびかざり,首飾り,ဆွဲကြိုး၊လည်ဆွဲ
2376,kubiwa,くびわ,首輪,လည်ပတ်၊လည်စည်းပဝါ၊
2377,kufū(suru),くふう（する）,工夫（する）,ကောင်းသောနည်းလမ်းကိုအမျိုးမျိုးစဉ်းစားခြင်း၊ ကောင်းအောင်တီထွင်ခြင်း
2378,kubun(suru),くぶん（する）,区分（する）,ခွဲခြားခြင်း၊ ပိုင်းခြားခြင်း
2379,kubetsu,くべつ,区別,ခွဲခြားမှု
2380,kumanaku,くまなく,,နေရာအနှံ့
2381,kumi,くみ,組,အဖွဲ့
2382,kumiai,くみあい,組合,အလုပ်သမားသမဂ္ဂ
2383,kumiawase,くみあわせ,組み合わせ,ပေါင်းစပ်မှု၊ တွဲဖက်ခြင်း
2384,kumiawaseru,くみあわせる,組み合わせる,တွဲဖက်သည်
2385,kumikomu,くみこむ,組み込む,ထည့်သည်။ထည့်သွင်းသည်
2386,kumitateru,くみたてる,組み立てる,ဆောက်လုပ်သည်၊ ဆင်သည်
2387,kumu,くむ,組む,ဖွဲ့သည်၊ဖွဲ့စည်းသည်၊တွဲဖက်သည်
2388,kumu,くむ,汲む,ရေခပ်သည်
2389,kumo,くも,雲,တိမ်
2390,kumori,くもり,曇り,မိုးအုံ့ခြင်း
2391,kumoru,くもる,曇る,မိုးအုံ့သည်
2392,kuyakusho,くやくしょ,区役所,မြို့နယ်ရုံး
2393,kuyashii,くやしい,悔しい,ခံပြင်းသော
2394,kuyamu,くやむ,悔やむ,နောင်တရသည်
2395,kura,くら,蔵,သိုလှောင်ရုံ
2396,kurai,くらい,位,ရာထူးအဆင့်
2397,kurai,くらい,暗い,မှောင်သော
2398,kurashi,くらし,暮らし,အနေအထိုင်
2399,kurashikku,クラシック,classic,ရှေးကျသော၊ရှေးဟောင်းဥရောပတီးလုံး
2400,kurasu,くらす,暮らす,နေထိုင်သည်
2401,kurasu,クラス,class,အတန်း
2402,gurasu,グラス,glass,မှန်ပန်းကွက်
2403,kurabu,クラブ,club,အသင်း
2404,gurafu,グラフ,graph,ဂရပ်ဖ်
2405,kuraberu,くらべる,比べる,နှိုင်းယှဉ်သည်
2406,guramu,グラム,gram,ဂရမ်
2407,gurando,グランド,ground,ကွင်း
2408,kuri,くり,栗,သစ်ချသီး
2409,kuria(suru),クリア（する）,clear,ရှင်းလင်းစေခြင်း
2410,kuria (na),クリア　（な）,clear,ရှင်းလင်းသော
2411,kurīningu,クリーニング,cleaning,အဝတ်လျှော်ဆိုင်
2412,kurīmu,クリーム,cream,ခရင်
2413,kurīn(na),クリーン（な）,clean,သန့်ရှင်းသော
2414,kurieitibu,クリエイティブ,creative,တီထွင်မှုဆိုင်သော ၊ဖန်တီးနိုင်သော
2415,kurikaesu,くりかえす,繰り返す,ထပ်ခါထပ်ခါလုပ်သည်
2416,gurikōgen,グリコーゲン,glycogen,ခန္ဓာကိုယ်တွင်းသိုလှောင်ထားသောသကြားဓါတ်
2417,kurisumasu,クリスマス,Christmas,ခရစ်စမတ် .
2418,kurikku(suru),クリック（する）,click,ကလစ်နှိပ်ခြင်း
2419,kuru,くる,来る,လာသည်
2420,kuruu,くるう,狂う,ရူးသည်/မှားသည်/လွဲသည်
2421,gurūpu,グループ,group,အုပ်စု၊အသင်းအဖွဲ့
2422,kurushii,くるしい,苦しい,ပင်ပန်းသောဝေဒနာရှိသော၊ စိတ်သောကရှိသော၊
2423,kurushimu,くるしむ,苦しむ,ဝေဒနာခံစားသည်။ စိတ်သောကရောက်ပြီးစိတ်ညစ်သည်
2424,kurushimeru,くるしめる,苦しめる,နှိပ်စက်သည်၊ဒုက္ခပေးသည်၊ အကြပ်အတည်းဖြစ်စေသည်
2425,kuruma,くるま,車,ကား
2426,kurumaisu,くるまいす,車椅子,ဘီးတပ်ကုလားထိုင်
2427,kurumu,くるむ,,ထုပ်ပိုးသည်
2428,gururito,ぐるりと,,ပတ်ချာလည်
2429,kure,くれ,暮れ,နေဝင်အချိန်
2430,gurē,グレー,gray,မီးခိုးရောင်
2431,kurēn,クレーン,crane,ကရိန်းစက်၊ဝန်ချီစက်
2432,kureguremo,くれぐれも,,ထပ်ခါထပ်ခါ(တဖက်လူအားစိတ်နှလုံးသွင်းပြီးမေတ္တာရပ်ခံသည့် အချိန်)
2433,kurenai,くれない,紅,အနီရောင်ရင့်ရင်
2434,kureru,くれる,,ပေးသည်။(သူများကကိုယ့်ကို)
2435,kureru,くれる,暮れる,နေဝင်သည်
2436,kuro,くろ,黒,အနက်ရောင်၊အပြစ်ရှိသည်ဟုသံသယရှိသူ
2437,kuroi,くろい,黒い,အနက်ရောင်
2438,kurō(suru),くろう（する）,苦労（する）,ဒုက္ခခံခြင်း၊ ဆင်းရဲပင်ပန်းခြင်း
2439,kurōto,くろうと,玄人,ကျွမ်းကျင်သူ၊ကြေးစားလုပ်သူ
2440,kurōzuappu(suru),クローズアップ（する）,closeup,အနီးကပ်ကြည့်ခြင်း
2441,gurōbaru(na),グローバル（な）,global,တကမ္ဘာလုံးဆိုင်ရာ
2442,kuroji,くろじ,黒字,အမြတ်ရခြင်း
2443,kuwaeru,くわえる,加える,ဂဏန်းပေါင်းသည်။ ပေါင်းထည့်သည်၊ အကျိုးသက်ရောက်စေသည်
2444,kuwaeru(kuchini),くわえる（くちに）,,ငုံထားသည်၊ကိုက်ချီသည်
2445,kuwashii,くわしい,詳しい,နှံ့စပ်သော၊အသေးစိတ်သိသော
2446,kuwawaru,くわわる,加わる,ပါဝင်သည်၊တိုးပွါးလာသည်
2447,kun,くん,訓,ဂျပန်အသံထွက်
2448,gun,ぐん,軍,တပ်မတော်
2449,gun,ぐん,郡,မြို့နယ်
2450,gun,ぐん,群,အုပ်စု
2451,gunkan,ぐんかん,軍艦,စစ်သင်္ဘော
2452,gunji,ぐんじ,軍事,စစ်နှင့်ပတ်သက်သောကိစ္စ၊စစ်ရေး
2453,kunshiyu,くんしゅ,君主,ရှင်ဘုရင်၊နိုင်ငံတော်အကြီးအကဲ
2454,gunshuu,ぐんしゅう,群衆／群集,ပရိသတ်၊လူအုပ်စု
2455,kunshō,くんしょう,勲章,ဘွဲ့တံဆိပ်
2456,gunjin,ぐんじん,軍人,စစ်မှုထမ်း၊စစ်သား၊ တပ်မတော်သား
2457,guntai,ぐんたい,軍隊,စစ်တပ်
2458,gunto,ぐんと,,တဟုန်ထိုး၊တအားပို
2459,gumbi,ぐんび,軍備,လက်နက်ခဲယမ်း
2460,gumpuku,ぐんぷく,軍服,စစ်ဝတ်စုံ၊စစ်အင်္ကျီ
2461,kunren(suru),くんれん（する）,訓練（する）,လေ့ကျင့်မှု
2462,ke,け,毛,သိုးမွှေး
2463,~ke,~け,～家,အိမ်၊ အိမ်ထောင်စု
2464,ke,け,毛（髪の）,ဆံပင်
2465,ke,け,毛のセーター,သိုးမွှေးဆွယ်တာ
2466,ge,げ,下,အောက်၊ဒုတိယတွဲ
2467,kea(suru),ケア（する）,care,ပြုစုစောင့်ရှောက်ခြင်း
2468,kei,けい,刑,ပြစ်ဒဏ်
2469,kei,けい,計,စုစုပေါင်း
2470,~kei,～けい,～系,နည်းစနစ်အမျိုးအစားမျိုးနွယ်
2471,gei,げい,芸,အနုပညာဖျော်ဖြေမှု့
2472,keii,けいい,敬意,ရိုသေလေးစားမှု
2473,keii,けいい,経緯,အကျိုးအကြောင်း
2474,keiei(suru),けいえい（する）,経営（する）,စီမံညွှန်ကြားခြင်း၊ စီမံအုပ်ချုပ်ခြင်း
2475,keika(suru),けいか（する）,経過（する）,ကြာမြင့်ခြင်း
2476,keikai(suru),けいかい（する）,警戒（する）,ကင်းစောင့်ခြင်း
2477,keikai(na),けいかい（な）,軽快な,စိတ်ပေါ့ပါးသော
2478,keikaku(suru),けいかく（する）,計画（する）,စီမံကိန်း
2479,keikan,けいかん,警官,ပုလိပ်
2480,keikan,けいかん,景観,ရှုမျှော်ခင်း
2481,keiki,けいき,景気,စီးပွားရေးအခြေအနေ
2482,keiki,けいき,計器,တိုင်းတာရေးကိရိယာ
2483,keiki,けいき,契機,အကြောင်းရင်း၊လမ်းစ
2484,keigu,けいぐ,敬具,လေးစားစွာဖြင့်
2485,keiken(suru),けいけん（する）,経験（する）,အတွေ့အကြုံ
2486,keigen(suru),けいげん（する）,軽減（する）,လျော့ခြင်း၊လျှော့ပေးခြင်း
2487,keigo,けいご,敬語,ယဉ်ကျေးသောစကား
2488,keiko(suru),けいこ（する）,稽古（する）,လေ့ကျင့်ခြင်း
2489,keikou,けいこう,傾向,ထူးခြားတဲ့ လက္ခဏာ၊အလားအလာ၊ တိမ်းစောင်းမှု၊သွေဖီမှု၊လားရာ
2490,keikoutō,けいこうとう,蛍光灯,မီးချောင်း
2491,keikoku(suru),けいこく（する）,警告（する）,သတိပေးမှု
2492,keizai,けいざい,経済,စီးပွားရေး
2493,keisai(suru),けいさい（する）,掲載（する）,ထည့်သွင်းဖော်ပြမှု
2494,keizaigaku,けいざいがく,経済学,ဘောဂဗေဒ
2495,keisatsu,けいさつ,警察,ရဲအဖွဲ့
2496,keisan(suru),けいさん（する）,計算（する）,ရေတွက်ခြင်း၊ တွက်ချက်ခြင်း၊ ကြိုတင်စဉ်းစားထားခြင်း
2497,keisandakai,けいさんだかい,計算高い,ကိုယ်ကျိုးရှာချင်သော
2498,keiji,けいじ,刑事,ရဲ(စုံစမ်းစစ်ဆေးရေးရဲ)
2499,keiji(suru),けいじ（する）,掲示（する）,ကြေညာချက်ထုတ်ခြင်း
2500,keishiki,けいしき,形式,ပုံစံ၊အပြင်ပန်း၊
2501,keijiban,けいじばん,掲示板,ကြေငြာသင်ပုန်း
2502,keisha(suru),けいしゃ（する）,傾斜（する）,ဆင်ခြေလျော၊ တဖက်တိမ်းစောင်းနေခြင်း
2503,geijiyutsu,げいじゅつ,芸術,အနုပညာ(စာပေ၊ဂီတ၊ ပန်းချီပန်းပု၊ပြဇာတ်၊ရုပ်ရှင်အစရှိသည့် )
2504,geishun,げいしゅん,迎春,နှစ်သစ်ကူးကိုကြိုဆိုခြင်း
2505,keishō,けいしょう,敬称,နာမ်စားတပ်ခေါ်ခြင်း
2506,keijiyou,けいじょう,形状,ပုံစံ၊ပုံသဏ္ဍာန်
2507,keijiyou(suru),けいじょう（する）,計上（する）,ရေတွက်ခြင်း၊ငွေစာရင်းထည့်ခြင်း
2508,keishoku,けいしょく,軽食,အဆာပြေသရေစာ
2509,keisei,けいせい,形勢,ထိပ်တိုက်အခြေအနေ၊ ပြောင်းလဲသောအခြေအနေ
2510,keisei(suru),けいせい（する）,形成（する）,ပုံဖော်ခြင်း
2511,keizoku(suru),けいぞく（する）,継続（する）,ဆက်လုပ်မှု
2512,keisotsu(na),けいそつ（な）,軽率な,ပေါ့ပျက်ပျက်လုပ်သော၊နမော်နမဲ့လုပ်သော
2513,keitai,けいたい,形態,ပုံပန်းသဏ္ဍာန်၊ပုံစံ
2514,keidai,けいだい,境内,ဘုရားပရဝုဏ်အတွင်း
2515,keitai(suru),けいたい（する）,携帯（する）,ကိုင်ဆောင်မှု၊လက်ထဲမှာကိုင်ဆောင်ပြီးလမ်းလျှောက်
2516,keitaidenwa,けいたいでんわ,携帯電話,လက်ကိုင်ဖုန်း
2517,keichō(suru),けいちょう（する）,傾聴（する）,အားစိုက်ပြီးနားထောင်ခြင်း
2518,keito,けいと,毛糸,သိုးမွှေးချည်
2519,keido,けいど,経度,လောင်ဂျီတွဒ်
2520,keitou,けいとう,系統,မျိုးရိုးစဉ်ဆက်၊အဆက်အနွယ်၊ မျိုးဆက်၊ အမျိုးတူခြင်း
2521,geinō,げいのう,芸能,အနုပညာ(ပြဇာတ်၊ရုပ်ရှင်၊အက၊ သီချင်းအစရှိသည်)
2522,keiba,けいば,傾馬,မြင်းပြိုင်ပွဲ
2523,keibatsu,けいばつ,刑罰,အပြစ်ဒဏ်
2524,keihatsu(suru),けいはつ（する）,啓発（する）,ပညာပေးသည်။ နိုးကြားစေသည်
2525,keii,けいひ,経費,ကုန်ကျစရိတ်
2526,keibi(suru),けいび（する）,警備（する）,ကင်းစောင့်ခြင်း၊
2527,keibu,けいぶ,警部,ရဲအရာရှိ
2528,keibetsu(suru),けいべつ（する）,軽蔑（する）,အထင်သေးမှု
2529,keiyaku(suru),けいやく（する）,契約（する）,စာချုပ်ချုပ်ခြင်း
2530,keiyu(suru),けいゆ（する）,経由（する）,ဖြတ်သန်း၊နေရာတစ်ခုကိုဖြတ်သန်း၍
2531,keiyōshi,けいようし,形容詞,နာမဝိသေသန
2532,keiran,けいらん,鶏卵,ကြက်ဥ
2533,keiri,けいり,経理,ငွေစာရင်း၊စာရင်းကိုင်ခြင်း
2534,keiryū(suru),けいりゅう（する）,係留（する）,လှေ၊သင်္ဘောကိုဆိပ်ကမ်းတွင်ရပ်နားခြင်း
2535,keireki,けいれき,経歴,ကိုယ်ရေးရာဇဝင်၊အတ္ထုပတ္တိ
2536,keiro,けいろ,経路,ခရီးစဉ်လမ်းကြောင်း
2537,kēki,ケーキ,cake,ကိတ်
2538,kēsu,ケース,case,အမှုကိစ္စ
2539,kēburu,ケーブル,cable,ကြေးနန်းကြိုး
2540,gēmu,ゲーム,game,ကစားခြင်း
2541,geka,げか,外科,ခွဲစိတ်ကုသမှုပညာ၊ခွဲစိတ်ကုဌာန ၊
2542,kega(suru),けが（する）,怪我（する）,ဒဏ်ရာ
2543,kegarawashii,けがらわしい,汚らわしい,ညစ်ပတ်သော
2544,kegareru,けがれる,汚れる,ပေကျံသည်၊အနာအဆာရသည်
2545,kegawa,けがわ,毛皮,သားရေ ၊ တိရိစ္ဆာန်အရေခွံ
2546,geki,げき,劇,ပြဇာတ်
2547,gekijō,げきじょう,劇業,ပြဇာတ်ရုံ
2548,gekizou(suru),げきぞう（する）,激増（する）,အလွန်တိုးပွားမှု
2549,gekidan,げきだん,劇団,ဇာတ်အဖွဲ့
2550,gekiyaku,げきやく,劇薬,အဆိပ်ပြင်းဆေးဝါး
2551,gekirei(suru),げきれい（する）,激励（する）,အားပေးမှု
2552,kesa,けさ,今朝,ဒီမနက်
2553,keshiin,けしいん,消印,စာတိုက်တံဆိပ်
2554,keshiki,けしき,景色,ရှုခင်း
2555,keshigomu,けしゴム,消しゴム,ခဲဖျက်
2556,gesha(suru),げしゃ（する）,下車（する）,ယာဉ်ပေါ်မှဆင်းခြင်း
2557,geshuku(suru),げしゅく（する）,下宿（する）,ဘော်ဒါဆောင်နေခြင်း၊သူများအိမ်တွင်တည်းခိုနေထိုင်ခြင်း
2558,gejiyun,げじゅん,下旬,လကုန်ပိုင်း
2559,keshō(suru),けしょう（する）,化粧（する）,အလှပြင်မှု၊မိတ်ကပ်လိမ်းခြင်း
2560,kesu,けす,消す,ဖျက်သည်
2561,gesui,げすい,下水,ရေမြောင်းရေ၊ရေဆိုး
2562,gesuto,ゲスト,guest,ဧည့်သည်
2563,kezuru,けずる,削る,ချွန်သည်၊ ရေပေါ်ထိုးသည်၊ကျောက်သွေးသည်၊လျော့ချသည်။ဖယ်ရှားသည်။
2564,keta,けた,桁,ရေတွက်နည်း ဂဏန်းအရေအတွက်
2565,geta,げた,下駄,ခုံဖိနပ်
2566,kedamono,けだもの,獣,သားရဲတိရိစ္ဆာန်
2567,kechi(na),けち（な）,,ကပ်စေးနှဲသော
2568,kechappu,ケチャップ,ketchup,ခရမ်းချဉ်သီးအချဉ်ရည်
2569,ketsu,けつ,決,ဆုံးဖြတ်မှု
2570,ketsuatsu,けつあつ,血圧,သွေးအားသွေးပေါင်
2571,ketsui(suru),けつい（する）,決意（する）,စိတ်ပိုင်းဖြတ်မှု
2572,ketsueki,けつえき,血液,သွေး
2573,ketsuekigata,けつえきがた,血液型,သွေးအုပ်စု
2574,kekka,けっか,結果,အကျိုးရလဒ်
2575,kekkaku,けっかく,結核,အဆုတ်ရောဂါ၊ တီဘီရောဂါ
2576,kekkan,けっかん,欠陥,ချို့ယွင်းချက်
2577,kekkan,けっかん,血管,သွေးကြော
2578,ketsugi(suru),けつぎ（する）,決議（する）,အတည်ပြုခြင်း၊ အစည်းအဝေးတွင်ဆုံးဖြတ်ချက်
2579,getsukyū,げっきゅう,月給,လခ၊လစာ
2580,ketsukyoku,けっきょく,結局,နောက်ဆုံးတော့
2581,kekkō,けっこう,結構,ထင်တာထက်ပို၍
2582,kekkō(suru),けっこう（する）,決行（する）,ယတိပြတ်လုပ်ဆောင်ခြင်း၊ စိတ်ပိုင်းဖြတ်ပြုလုပ်ခြင်း
2583,ketsugō(suru),けつごう（する）,結合（する）,ပေါင်းစည်းမှု၊ပေါင်းစပ်ခြင်း
2584,kekkō(na),けっこう（な）,結構（な）,ကောင်းသော၊အဆင်ပြေသော
2585,kekkon(suru),けっこん（する）,結婚（する）,ထိမ်းမြားလက်ထပ်ခြင်း
2586,kessaku,けっさく,傑作,လက်ရာမြောက်မှုရယ်စရာကောင်းသောကိစ္စ
2587,kessan,けっさん,決算,စာရင်းချုပ်ခြင်း ၊
2588,kesshite,けっして,決して,ဘယ်တော့မှလုံးဝ. . . ဘူး
2589,getsusha,げっしゃ,月謝,လစဉ်ပေးဆောင်ရမည့်သင်တန်းကြေး
2590,ketsujiyo(suru),けつじょ（する）,欠如（する）,မလုံလောက်ခြင်း၊ ကျိုးပဲ့ခြင်း
